Date,Open,High,Low,Close,Volume
7/2/2001,5.225,6.0125,5.0412,5.9437,198777600
8/1/2001,5.9088,6.475,5.8075,6.25,186445600
9/4/2001,6.2812,6.5,5.0938,5.8513,242135216
10/1/2001,5.8475,6.37,5.7687,6.17,247352800
11/1/2001,6.075,6.8037,5.9562,6.6238,179063200
12/3/2001,6.6225,7.3037,6.25,7.03,308527192
1/2/2002,7.04,7.6312,6.825,7.4887,256148800
2/1/2002,7.4813,7.58,7.0912,7.3575,171952000
3/1/2002,7.35,8.035,7.1312,7.5012,258656016
4/1/2002,7.45,7.45,6.6,6.6662,276448000
5/1/2002,6.6125,7.0525,6.5,6.7188,227011200
6/3/2002,6.7088,7.0375,6.0275,6.7062,283722416
7/1/2002,6.7938,7.2313,5.6375,6.1612,339608800
8/1/2002,6.0625,6.0625,5.0625,5.3975,407543984
9/3/2002,5.35,5.715,5.0438,5.3975,274512800
10/1/2002,5.3987,6.0287,4.8163,5.8987,302508000
11/1/2002,5.8937,6.025,5.3537,5.5975,245724000
12/2/2002,5.75,5.8913,5.1487,5.5587,267160016
1/2/2003,5.5713,6.0537,5.315,5.5675,209041600
2/3/2003,5.5812,5.8726,5.2975,5.7962,197583200
3/3/2003,5.8125,6.675,5.6887,6.4275,328338400
4/1/2003,6.4375,6.9575,6.2825,6.6913,218646400
5/1/2003,6.7162,7.07,6.4375,6.9988,230232000
6/2/2003,7.0062,7.1875,6.575,6.6863,327826400
7/1/2003,6.6863,6.808,6.2825,6.4675,225903200
8/1/2003,6.4375,7.1338,6.2,7.1225,184159200
9/2/2003,7.1325,7.7812,6.8838,7.6025,261523184
10/1/2003,7.6,8.1162,7.5875,7.9875,238664800
11/3/2003,7.9875,8.435,7.5862,8.4062,239918800
12/1/2003,8.4313,8.5675,7.9025,8.5575,265876000
1/2/2004,8.5875,8.8275,8.2888,8.7075,184354400
2/2/2004,8.7,9.325,8.69,9.1562,171486400
3/1/2004,9.2125,9.82,9.0275,9.7338,291137608
4/1/2004,9.7275,9.82,8.9138,8.9938,200372800
5/3/2004,8.9725,8.9875,8.2263,8.8937,256347200
6/1/2004,8.8975,9.6675,8.66,9.4688,200643984
7/1/2004,9.4737,9.515,8.6625,9.0888,199154400
8/2/2004,9.09,9.6125,8.5762,9.4138,163166400
9/1/2004,9.375,10.0025,9.315,9.85,223154400
10/1/2004,9.875,10.2438,9.5775,10.1638,202959200
11/1/2004,10.1325,10.975,10.0875,10.5825,223926416
12/1/2004,10.6,11.5537,10.6,11.3362,199077608
1/3/2005,11.325,11.4175,10.5875,10.8287,154792000
2/1/2005,10.8287,10.9863,10.325,10.8688,209338400
3/1/2005,10.8788,11.065,10.18,10.4138,312574408
4/1/2005,10.485,10.53,9.3875,9.6013,249906400
5/2/2005,9.6013,10.465,9.475,10.275,236075200
6/1/2005,10.2875,11.3662,10.2613,10.825,326438416
7/1/2005,10.7713,11.0625,10.4287,10.475,238434400
8/1/2005,10.4763,11.125,9.67,9.8637,356392008
9/1/2005,9.8637,10.6562,9.5663,10.21,496377576
10/3/2005,10.26,10.54,9.9925,10.5062,261752000
11/1/2005,10.5,11.0687,10.4287,10.6625,213472000
12/1/2005,10.7188,11.4425,10.4688,10.8487,354734424
1/3/2006,10.8487,11.02,10.075,10.1188,347506376
2/1/2006,10.1562,10.9787,10.1513,10.8475,252378392
3/1/2006,10.8312,11.005,10.5038,10.6375,318509608
4/3/2006,10.6375,10.7325,10.045,10.23,206518400
5/1/2006,10.2538,10.3875,9.6738,10.0388,267026400
6/1/2006,10.0512,10.6212,9.8625,10.125,326368008
7/3/2006,10.1312,10.2188,9.75,9.875,315201600
8/1/2006,9.875,10.1188,9.44,10.095,421105600
9/1/2006,10.095,11.1137,9.9825,10.9525,450939200
10/2/2006,10.8712,11.7588,10.8637,11.485,260692800
11/1/2006,11.5125,12.4125,11.3225,12.3688,213671200
12/1/2006,12.3375,12.65,11.8487,12.3788,258739208
1/3/2007,12.25,12.5438,11.865,12.3513,273165600
2/1/2007,12.3275,13.6125,12.305,13.0587,283551512
3/1/2007,12.8875,13.7625,12.7713,13.2825,329252544
4/2/2007,13.35,13.775,13.2,13.465,203457740
5/1/2007,13.465,14.28,13.085,14.1875,259547440
6/1/2007,14.1875,14.815,12.9675,14.5725,389009576
7/2/2007,14.675,15.0875,13.86,14.1125,319916296
8/1/2007,14.3025,14.6575,13,14.085,346502348
9/4/2007,14.01,15.2475,13.5375,14.665,291060200
10/1/2007,14.6975,16.6425,14.65,16.565,353233236
11/1/2007,16.485,16.5475,15.2275,16.4125,233029764
12/3/2007,16.2375,16.9825,15.56,16.06,233628900
1/2/2008,16.08,16.175,12.875,15.3325,419700700
2/1/2008,15.41,15.75,14.8775,15.05,240377084
3/3/2008,15.06,17.65,14.175,17,388730876
4/1/2008,17.15,17.5,16.2975,16.7,292852868
5/1/2008,16.7,17.22,16.02,17.0925,262828420
6/2/2008,17.0675,17.57,14.4075,14.9025,380945140
7/1/2008,14.9,15.1075,13.66,14.67,398802820
8/1/2008,14.605,16.2,14.4375,15.1525,239299188
9/2/2008,15.39,17,14.6175,16.725,429140716
10/1/2008,16.55,16.755,11.6175,14.4075,580016092
11/3/2008,14.3375,14.625,10.67,13.3125,379523068
12/1/2008,13.0675,14.3325,11.77,12.75,364406540
1/2/2009,12.7375,13.5,10.885,11.3125,280091364
2/2/2009,11.1425,12.28,10.02,10.3825,289730888
3/2/2009,10.2075,12.0725,9.56,11.7225,412895968
4/1/2009,11.545,14.074,11.41,13.1175,287050576
5/1/2009,13.2175,14.285,12.19,14.2625,309507776
6/1/2009,14.465,14.9875,12.54,12.945,379707924
7/1/2009,13.035,14.4425,12.6475,14.16,297753364
8/3/2009,14.245,14.5675,13.7,13.8475,269592128
9/1/2009,13.7263,16.2375,13.305,16.175,426033852
10/1/2009,16,16.5875,15.27,15.545,302183256
11/2/2009,15.585,16.585,15.45,16.2225,175686268
12/1/2009,16.3175,16.655,15.4375,16.5175,214439988
1/4/2010,16.515,16.5175,15.7375,15.9375,183850736
2/1/2010,15.9925,16.9625,15.2225,16.9,196407128
3/1/2010,16.9775,18.8375,16.815,18.375,245340288
4/1/2010,18.49,19.6312,18.265,18.9775,199112432
5/3/2010,19.0025,19.6375,16.7475,18.095,370559956
6/1/2010,17.86,18.98,16.825,16.8875,306151260
7/1/2010,16.9725,18.5275,16.585,18.41,268353592
8/2/2010,18.5975,18.75,17.08,17.5,221697100
9/1/2010,17.7825,20.425,17.705,20.035,283143044
10/1/2010,20.24,20.85,19.7605,20.36,222616476
11/1/2010,20.47,21.7425,20.065,21.5325,189893096
12/1/2010,21.87,23.1225,21.28,21.355,212487220
1/3/2011,21.4575,21.645,20.2525,20.62,181607008
2/1/2011,20.6875,22.29,20.655,22.2575,177184464
3/1/2011,22.4125,22.78,17.3575,18.925,425145684
4/1/2011,18.985,20.6825,18.955,20.58,223069788
5/2/2011,20.695,21.6325,20.3525,21.1125,197240456
6/1/2011,21.085,22.645,19.86,22.495,337343712
7/1/2011,22.4125,23.5575,22.1375,22.5375,241529836
8/1/2011,22.605,22.615,19.245,21.6625,346145156
9/1/2011,21.5875,23.14,20.05,21.3775,327134044
10/3/2011,21.2375,24.42,20.2525,24.0875,232707124
11/1/2011,23.3775,24.375,22.4475,24.045,196022096
12/1/2011,23.84,24.5625,23.2225,24.0925,221893216
1/3/2012,24.3425,26.235,24.1275,25.9975,193466112
2/1/2012,26.1025,27.07,25.6435,26.98,148476776
3/1/2012,27.2225,28.2425,26.5175,27.11,230845276
4/2/2012,27.105,28,26.4825,27.9675,184983068
5/1/2012,27.9775,28.7025,26.0675,27.045,205042296
6/1/2012,26.5725,27.4775,21.275,21.945,339524728
7/2/2012,22.0975,24.4375,22.0075,23.3375,277909800
8/1/2012,23.3775,24.8225,22.76,24.34,212742360
9/4/2012,24.2975,25.23,23.1975,23.7275,252501876
10/1/2012,23.7275,24.525,22.58,22.845,198278980
11/1/2012,22.975,25.0825,22.4125,24.37,188988756
12/3/2012,24.415,26.5575,24.1525,25.8,181545094
1/2/2013,26.2,27.785,25.7,27.025,149287784
2/1/2013,27.23,27.95,26.75,27.23,123360024
3/1/2013,27.21,30.125,26.635,29.505,197849228
4/1/2013,29.5,31.8825,28.99,31.8,147367744
5/1/2013,31.78,33.035,30.78,30.83,143232454
6/3/2013,30.8,32.035,29.555,31.84,179352632
7/1/2013,31.97,32.33,30.95,31.46,139198314
8/1/2013,31.62,33.425,31.3,31.41,136691836
9/3/2013,31.805,37.625,31.75,36.32,226250840
10/1/2013,36.52,38.445,34.98,37.88,178460396
11/1/2013,37.9,39.935,37.79,39.57,102263936
12/2/2013,39.735,40.13,37.71,39.32,162567886
1/2/2014,39.075,39.415,35.755,36.425,168007342
2/3/2014,36.38,39.5275,34.925,39.15,137175532
3/3/2014,38.815,40.045,36.505,36.93,178570846
4/1/2014,37.01,37.59,35.3,36.475,166182204
5/1/2014,36.405,38.465,35.7625,38.455,113466430
6/2/2014,38.495,39.575,36.57,38.775,165365616
7/1/2014,38.865,39.97,38.15,38.565,134547794
8/1/2014,38.27,40.15,37.95,39.275,115394840
9/2/2014,39.175,45.145,39.175,44.6,217293062
10/1/2014,44.455,47.07,41.925,46.485,183668614
11/3/2014,46.675,49.88,46.3081,49.645,99490536
12/1/2014,49.33,49.75,46.415,48.075,168756462
1/2/2015,48.275,48.725,46.015,46.125,130925134
2/2/2015,46.34,48.7025,45.3451,48.56,138933154
3/2/2015,48.445,51.895,47.59,50.165,189358694
4/1/2015,50,51,49.07,49.42,112486506
5/1/2015,49.94,52.75,49.705,50.835,114085382
6/1/2015,50.885,55.17,50.39,54.01,137113666
7/1/2015,54.475,57.97,54.295,57.61,126941414
8/3/2015,57.755,58.8599,47.25,55.875,169809456
9/1/2015,54.49,62.975,54.015,61.485,222223410
10/1/2015,61.58,66.76,60.5,65.515,177931480
11/2/2015,65.865,67.65,60.21,66.14,163168148
12/1/2015,66.06,68.195,62.15,62.5,234857660
1/4/2016,61.11,62.59,56.59,62.01,201105045
2/1/2016,61.75,63.5,53.64,61.59,211308102
3/1/2016,61.97,65.44,57.95,61.47,230587076
4/1/2016,61.22,61.85,56.89,58.94,178121773
5/2/2016,59.09,59.99,55.17,55.22,192374924
6/1/2016,53.33,55.64,51.475,55.2,316786140
7/1/2016,55.07,58.865,54.82,55.5,166877361
8/1/2016,55.73,60.33,54.28,57.64,181042086
9/1/2016,57.67,59.18,52.12,52.65,230973651
10/3/2016,52.54,53.06,50,50.18,190327931
11/1/2016,50.5,51.89,49.01,50.07,166220023
12/1/2016,50.11,53.35,50.06,50.83,215471219
1/3/2017,51.99,54.12,51.63,52.9,175931076
2/1/2017,52.98,58.42,52.05,57.16,178369648
3/1/2017,57.86,59,53.76,55.73,249515115
4/3/2017,55.74,56.69,54.5,55.41,137902467
5/1/2017,55.43,55.45,50.81,52.99,223448944
6/1/2017,53.06,59.71,50.79,59,275425135
7/3/2017,58.37,60,57,59.05,158127101
8/1/2017,59,60.53,52.065,52.81,174951250
9/1/2017,53,54.16,51.03,51.85,212311860
10/2/2017,52.16,57.25,50.35,54.99,247773492
11/1/2017,55.42,61.21,54.59,60.42,182882551
12/1/2017,60.42,65.185,59.24,62.55,198525198
1/2/2018,62.85,68.83,62.55,68.22,157812472
2/1/2018,67.67,70.25,62.09,67.03,160316970
3/1/2018,67.24,67.69,63.89,66.44,174067021
4/2/2018,65.97,70,63.21,68.39,159265245
5/1/2018,67.98,73.49,66.64,71.8,129565709
6/1/2018,72.12,81,71.15,79.68,156798825
7/2/2018,78.58,79.48,75.06,76.91,122371353
8/1/2018,76.5,83.68,76.5,82.2,123705234
9/4/2018,79.39,86.04,79,84.72,165674181
10/1/2018,85.1,85.85,70.69,75.04,199348934
11/1/2018,75.23,78.59,69.52,75.12,132669161
12/3/2018,77.1,79,66.53,74.14,180374296
1/2/2019,72.79,81.95,71.21,81.88,153019853
2/1/2019,81.83,86.4,80.83,85.73,104258695
3/1/2019,86.93,88.59,80.89,84.21,157848892
4/1/2019,85.04,90,83.97,87.83,117372458
5/1/2019,87.73,87.95,77.07,77.14,161722404
6/3/2019,77.24,86.85,77.08,83.95,134666373
7/1/2019,84.93,89.87,84.22,86.03,117817101
8/1/2019,85.26,86.77,78.185,84.5,138808142
9/3/2019,84,94.08,83.62,93.92,136016221
10/1/2019,94.13,96.87,88.94,89.55,156458280
11/1/2019,90.18,95.12,88.74,93.49,109150077
12/2/2019,94.09,101.79,91.31,101.31,130842302
1/2/2020,101.36,105.62,95.92,96.3,122258940
2/3/2020,99,103.89,85.15,89.38,138975489
3/2/2020,89.6,94.98,60,82.74,344653662
4/1/2020,79.49,91.39,77.16,87.18,165111795
5/1/2020,85.67,100.69,84.11,98.58,135747813
6/1/2020,98.4,104.69,94.88,95.17,65827144
The data and information in this spreadsheet is provided to you solely for,,,,,
your use and is not for distribution. The spreadsheet is provided for,,,,,
"informational purposes only, and is not intended to provide advice, nor",,,,,
"should it be construed as an offer to sell, a solicitation of an offer to buy",,,,,
or a recommendation for any security by Fidelity or any third party. Data,,,,,
and information shown is based on information known to Fidelity as of,,,,,
the date it was exported and is subject to change. It should not be used in,,,,,
place of your account statements or trade confirmations and is not,,,,,
intended for tax reporting purposes. For more information on the data,,,,,
"included in this spreadsheet, including any limitations thereof, go to",,,,,
Fidelity.com.,,,,,
,,,,,
"Brokerage services are provided by Fidelity Brokerage Services LLC, 900",,,,,
"Salem Street, Smithfield, RI 02917. Custody and other services provided",,,,,
by National Financial Services LLC. Both are Fidelity Investment,,,,,
"companies and members SIPC, NYSE.",,,,,
,,,,,
Date downloaded 06/12/2020 09:56 AM EST,,,,,
